Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00255227024020099,0,0.0352078548457962,0,0,0,0.960332741228718,0.00977577773789365,1.42988412284507E-19,-0.000928977867051056,0.00864442039964913,-2.48014911552149E-18,0.00488912432140511,0,0,0,0,0,0,package://virtualnewref/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://virtualnewref/meshes/base_link.STL,,Base-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
sec01,0,0,0.00500000000000006,0,0,0,0.0196349540849362,3.23158619314575E-06,0,6.44898432852067E-39,3.23158619314575E-06,-4.74299031266813E-39,6.13592315154257E-06,0,0,0,0,0,0,package://virtualnewref/meshes/sec01.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://virtualnewref/meshes/sec01.STL,,soliddisk-1,Coordinate System2,Axis_joint01,joint01,fixed,0.080717,0,0.4,0,0,0,base_link,0,0,0,100,0,-1.571,1.571,,,,,,,,
sec02,0,0,0.005,0,0,0,0.0196349540849362,3.23158619314575E-06,0,6.44898432852067E-39,3.23158619314575E-06,-4.74299031266813E-39,6.13592315154257E-06,0,0,0,0,0,0,package://virtualnewref/meshes/sec02.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://virtualnewref/meshes/sec02.STL,,soliddisk-2,Coordinate System3,,joint02,revolute,0,0,-0.02,0,0,0,sec01,0,0,0,100,0,-1.571,1.571,,,,,,,,
sec03,0,0,0.005,0,0,0,0.0196349540849362,3.23158619314575E-06,0,6.44898432852067E-39,3.23158619314575E-06,-4.74299031266813E-39,6.13592315154257E-06,0,0,0,0,0,0,package://virtualnewref/meshes/sec03.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://virtualnewref/meshes/sec03.STL,,soliddisk-3,Coordinate System4,,joint03,revolute,0,0,-0.02,0,0,0,sec02,0,0,0,100,0,-1.571,1.571,,,,,,,,
sec04,0,0,0.005,0,0,0,0.019635,3.2316E-06,0,6.449E-39,3.2316E-06,-4.743E-39,6.1359E-06,0,0,0,0,0,0,package://virtualnewref/meshes/sec04.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://virtualnewref/meshes/sec04.STL,,soliddisk-4,Coordinate System5,,joint04,revolute,0,0,-0.02,0,0,0,sec03,0,0,0,100,0,-1.571,1.571,,,,,,,,
sec05,0,0,0.00499999999999995,0,0,0,0.0196349540849362,3.23158619314575E-06,0,6.44898432852067E-39,3.23158619314575E-06,-4.74299031266813E-39,6.13592315154257E-06,0,0,0,0,0,0,package://virtualnewref/meshes/sec05.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://virtualnewref/meshes/sec05.STL,,soliddisk-5,Coordinate System6,,joint05,revolute,0,0,-0.02,0,0,0,sec04,0,0,0,100,0,-1.571,1.571,,,,,,,,
sec06,0,0,0.005,0,0,0,0.0196349540849362,3.23158619314575E-06,0,6.44898432852067E-39,3.23158619314575E-06,-4.74299031266813E-39,6.13592315154257E-06,0,0,0,0,0,0,package://virtualnewref/meshes/sec06.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://virtualnewref/meshes/sec06.STL,,soliddisk-6,Coordinate System7,,joint06,revolute,0,0,-0.02,0,0,0,sec05,0,0,0,100,0,-1.571,1.571,,,,,,,,
sec07,0,0,0.005,0,0,0,0.019635,3.2316E-06,0,6.449E-39,3.2316E-06,-4.743E-39,6.1359E-06,0,0,0,0,0,0,package://virtualnewref/meshes/sec07.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://virtualnewref/meshes/sec07.STL,,soliddisk-7,Coordinate System8,,joint07,revolute,0,0,-0.02,0,0,0,sec06,0,0,0,100,0,-1.571,1.571,,,,,,,,
sec08,0,0,0.005,0,0,0,0.0196349540849362,3.23158619314575E-06,0,6.44898432852067E-39,3.23158619314575E-06,-4.74299031266813E-39,6.13592315154257E-06,0,0,0,0,0,0,package://virtualnewref/meshes/sec08.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://virtualnewref/meshes/sec08.STL,,soliddisk-8,Coordinate System9,,joint08,revolute,0,0,-0.02,0,0,0,sec07,0,0,0,100,0,-1.571,1.571,,,,,,,,
sec09,0,0,0.00499999999999998,0,0,0,0.0196349540849362,3.23158619314575E-06,3.3136311751555E-53,-2.22427428810535E-37,3.23158619314574E-06,-4.74299031266811E-39,6.13592315154255E-06,0,0,0,0,0,0,package://virtualnewref/meshes/sec09.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://virtualnewref/meshes/sec09.STL,,soliddisk-9,Coordinate System10,,joint09,revolute,0,0,-0.02,0,0,0,sec08,0,0,0,100,0,-1.571,1.571,,,,,,,,
sec10,0,0,0.00499999999999995,0,0,0,0.0196349540849362,3.23158619314575E-06,0,6.44898432852067E-39,3.23158619314575E-06,-4.74299031266813E-39,6.13592315154257E-06,0,0,0,0,0,0,package://virtualnewref/meshes/sec10.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://virtualnewref/meshes/sec10.STL,,soliddisk-10,Coordinate System11,,joint10,revolute,0,0,-0.02,0,0,0,sec09,0,0,0,100,0,-1.571,1.571,,,,,,,,
